"시도명","시군구명","n"
"광주광역시","북구",132
"경상남도","진주시",115
"광주광역시","서구",82
"서울특별시","은평구",82
"울산광역시","남구",74
"경상남도","창원시",67
"전라남도","순천시",64
"경상남도","양산시",62
"인천광역시","서구",62
"대구광역시","달서구",56
"대구광역시","북구",52
"대전광역시","중구",52
"전라북도","전주시",52
"울산광역시","중구",51
"경상북도","포항시",47
"경기도","군포시",46
"경상남도","김해시",45
"서울특별시","관악구",43
"충청북도","영동군",43
"광주광역시","동구",39
"서울특별시","광진구",38
"인천광역시","부평구",37
"제주특별자치도","서귀포시",35
"서울특별시","강서구",34
"울산광역시","울주군",34
"서울특별시","서울특별시 도봉구",31
"대구광역시","중구",30
"부산광역시","남구",30
"서울특별시","노원구　",27
"경기도","시흥시",26
"경상남도","거제시",25
"서울특별시","영등포구",25
"서울특별시","강남구",24
"서울특별시","성동구",23
"충청남도","천안시",23
"전라남도","목포시",22
"전라북도","정읍시",22
"경상남도","합천군",21
"대전광역시","유성구",21
"서울특별시","금천구",21
"전라북도","군산시",21
"부산광역시","부산진구",20
"경기도","안산시",19
"경기도","의정부시",19
"대구광역시","서구",19
"부산광역시","사하구",19
"경기도","고양시 덕양구",18
"대구광역시","동구",18
"부산광역시","강서구",18
"부산광역시","서구",18
"부산광역시","영도구",18
"서울특별시","양천구",18
"서울특별시","종로구",17
"인천광역시","중구",17
"전라북도","완주군",17
"제주특별자치도","제주시",17
"경기도","화성시",16
"대전광역시","동구",16
"부산광역시","사상구",16
"서울특별시","서대문구",16
"전라남도","화순군",15
"강원도","강릉시",14
"경기도","파주시",14
"경기도","평택시",14
"서울특별시","강북구",14
"서울특별시","마포구",14
"인천광역시","미추홀구",14
"충청남도","당진시",14
"경기도","성남시",13
"대구광역시","달성군",13
"울산광역시","북구",13
"경기도","안성시",12
"경기도","양평군",12
"서울특별시","성북구",12
"전라북도","익산시",12
"충청남도","청양군",12
"경기도","남양주시",11
"경기도","단원구",11
"경상북도","구미시",11
"경상북도","김천시",11
"광주광역시","광산구",11
"서울특별시","송파구",11
"울산광역시","동구",11
"인천광역시","연수구",11
"전라북도","임실군",11
"충청북도","청주시",11
"경기도","광주시",10
"대구광역시","수성구",10
"전라남도","신안군",10
"전라북도","고창군",10
"충청북도","충청북도 제천시",10
"강원도","춘천시",9
"경기도","고양시 일산동구",9
"서울특별시","구로구",9
"충청남도","금산군",9
"강원도","평창군",8
"경기도","구리시",8
"경기도","양주시",8
"경기도","영통구",8
"경상북도","울진군",8
"대전광역시","서구",8
"부산광역시","해운대구",8
"서울특별시","동작구",8
"세종특별자치시","세종특별자치시",8
"충청남도","논산시",8
"충청남도","보령시",8
"충청남도","서산시",8
"충청북도","음성군",8
"경기도","고양시 일산서구",7
"경기도","부천시",7
"경기도","의왕시",7
"경기도","팔달구",7
"광주광역시","남구",7
"대구광역시","남구",7
"서울특별시","중구",7
"전라남도","담양군",7
"전라남도","여수시",7
"충청남도","아산시",7
"경기도","광명시",6
"경기도","권선구",6
"경기도","안양시 동안구",6
"경기도","오산시",6
"경기도","포천시",6
"경상북도","경주시",6
"대전광역시","대덕구",6
"부산광역시","부산중구",6
"부산광역시","연제구",6
"서울특별시","서초구",6
"전라남도","함평군",6
"충청북도","진천군",6
"강원도","삼척시",5
"강원도","속초시",5
"강원도","영월군",5
"강원도","원주시",5
"경기도","김포시",5
"경기도","여주시",5
"경기도","이천시",5
"경상남도","통영시",5
"경상북도","영덕군",5
"경상북도","칠곡군",5
"부산광역시","기장군",5
"서울특별시","강동구",5
"인천광역시","남동구",5
"전라북도","전라북도 김제시",5
"강원도","인제군",4
"강원도","화천군",4
"경기도","가평군",4
"경기도","동두천시",4
"경기도","장안구",4
"경상남도","창원시 마산회원구",4
"경상북도","문경시",4
"경상북도","상주시",4
"부산광역시","북구",4
"서울특별시","중랑구",4
"인천광역시","계양구",4
"인천광역시","옹진군",4
"전라남도","광양시",4
"전라남도","장성군",4
"전라북도","부안군",4
"충청남도","공주시",4
"충청북도","단양군",4
"강원도","고성군",3
"강원도","태백시",3
"경기도","하남시",3
"경상남도","고성군",3
"경상남도","산청군",3
"경상남도","창녕군",3
"경상북도","군위군",3
"경상북도","영양군",3
"부산광역시","동래구",3
"전라북도","무주군",3
"전라북도","순창군",3
"전라북도","전라북도 남원시",3
"충청남도","예산군",3
"충청남도","태안군",3
"충청남도","홍성군",3
"강원도","양구군",2
"강원도","정선군",2
"강원도","홍천군",2
"경기도","과천시",2
"경기도","수원시",2
"경기도","연천군",2
"경상남도","거창군",2
"경상남도","남해군",2
"경상남도","밀양시",2
"경상남도","사천시",2
"경상남도","의령군",2
"경상남도","창원시 마산합포구",2
"경상남도","함양군",2
"경상북도","경산시",2
"경상북도","안동시",2
"경상북도","청도군",2
"부산광역시","금정구",2
"부산광역시","동구",2
"부산광역시","수영구",2
"인천광역시","강화군",2
"전라남도","나주시",2
"전라남도","영광군",2
"전라남도","영암군",2
"전라북도","장수군",2
"충청남도","계룡시",2
"충청남도","부여군",2
"충청남도","서천군",2
"충청남도","천안시 동남구",2
"충청북도","옥천군",2
"충청북도","증평군",2
"충청북도","충주시",2
"강원도","동해시",1
"강원도","양양군",1
"강원도","철원군",1
"강원도","횡성군",1
"경상남도","창원시 성산구",1
"경상남도","하동군",1
"경상남도","함안군",1
"경상북도","고령군",1
"경상북도","봉화군",1
"경상북도","성주군",1
"경상북도","예천군",1
"경상북도","의성군",1
"경상북도","청송군",1
"부산광역시","중구",1
"서울특별시","서울시 중구",1
"세종특별자치시","-",1
"인천광역시","동구",1
"전라남도","곡성군",1
"전라남도","구례군",1
"전라남도","무안군",1
"전라남도","보성군",1
"전라남도","완도군",1
"전라남도","장흥군",1
"전라남도","전라남도",1
"전라남도","진도군",1
"전라남도","해남군",1
"전라북도","남원시",1
"전라북도","전라북도 진안군",1
"전라북도","진안군",1
"충청남도","천안시 서북구",1
"충청남도","홍성",1
